id,date,person,category,amount,currency
EXP-0065,2025-10-01,b.lindqvist,Software,132.00,USD
EXP-0009,2025-10-04,d.rahman,Hardware,18.00,USD
EXP-0071,2025-10-06,d.rahman,Meals,334.74,GBP
EXP-0095,2025-10-07,c.moreau,Meals,366.00,EUR
EXP-0025,2025-10-08,c.moreau,Travel,374.00,USD
EXP-0002,2025-10-12,b.lindqvist,Training,259.49,GBP
EXP-0028,2025-10-14,d.rahman,Travel,123.00,EUR
EXP-0113,2025-10-17,a.okafor,Hardware,256.00,EUR
EXP-0015,2025-10-18,b.lindqvist,Training,317.88,GBP
EXP-0091,2025-10-20,c.moreau,Training,397.41,GBP
EXP-0105,2025-10-20,e.whitfield,Software,33.65,GBP
EXP-0031,2025-10-21,a.okafor,Training,64.96,GBP
EXP-0044,2025-10-22,c.moreau,Hardware,1071.00,EUR
EXP-0100,2025-10-22,e.whitfield,Travel,352.49,GBP
EXP-0018,2025-10-28,b.lindqvist,Hardware,208.16,GBP
EXP-0072,2025-10-28,e.whitfield,Hardware,122.80,GBP
EXP-0008,2025-10-29,e.whitfield,Meals,306.55,GBP
EXP-0053,2025-10-31,c.moreau,Software,272.21,GBP
EXP-0088,2025-10-31,c.moreau,Travel,1157.96,GBP
EXP-0021,2025-11-08,d.rahman,Software,376.00,EUR
EXP-0039,2025-11-09,c.moreau,Travel,113.00,USD
EXP-0107,2025-11-10,a.okafor,Travel,24.00,USD
EXP-0062,2025-11-20,d.rahman,Meals,455.00,EUR
EXP-0049,2025-11-25,c.moreau,Software,8.34,GBP
EXP-0102,2025-11-26,c.moreau,Training,279.04,GBP
EXP-0035,2025-12-01,d.rahman,Meals,12.00,USD
EXP-0027,2025-12-06,a.okafor,Hardware,249.00,USD
EXP-0078,2025-12-06,c.moreau,Meals,84.12,GBP
EXP-0090,2025-12-07,e.whitfield,Software,386.00,EUR
EXP-0081,2025-12-09,b.lindqvist,Software,354.42,GBP
EXP-0041,2025-12-14,a.okafor,Travel,242.03,GBP
EXP-0066,2025-12-15,d.rahman,Travel,101.66,GBP
EXP-0086,2025-12-18,e.whitfield,Meals,291.00,EUR
EXP-0010,2025-12-25,a.okafor,Hardware,318.00,USD
EXP-0032,2025-12-28,e.whitfield,Software,31.00,USD
EXP-0051,2025-12-29,c.moreau,Travel,32.00,USD
EXP-0060,2025-12-31,b.lindqvist,Travel,367.56,GBP
EXP-0006,2026-01-03,c.moreau,Hardware,133.64,GBP
EXP-0052,2026-01-04,a.okafor,Hardware,407.00,USD
EXP-0106,2026-01-08,d.rahman,Travel,181.51,GBP
EXP-0030,2026-01-10,a.okafor,Software,385.71,GBP
EXP-0075,2026-01-11,b.lindqvist,Travel,20.00,USD
EXP-0011,2026-01-12,b.lindqvist,Hardware,29.43,GBP
EXP-0036,2026-01-12,a.okafor,Training,469.00,EUR
EXP-0042,2026-01-17,a.okafor,Hardware,235.00,EUR
EXP-0076,2026-01-18,d.rahman,Software,281.84,GBP
EXP-0111,2026-01-23,a.okafor,Training,132.00,USD
EXP-0115,2026-01-23,c.moreau,Software,421.00,USD
EXP-0085,2026-01-30,a.okafor,Software,289.32,GBP
EXP-0059,2026-02-03,a.okafor,Training,253.00,USD
EXP-0109,2026-02-03,a.okafor,Hardware,791.00,EUR
EXP-0012,2026-02-06,d.rahman,Software,146.60,GBP
EXP-0110,2026-02-07,e.whitfield,Travel,314.00,USD
EXP-0108,2026-02-09,e.whitfield,Hardware,369.97,GBP
EXP-0079,2026-02-10,d.rahman,Training,247.00,EUR
EXP-0114,2026-02-11,e.whitfield,Training,357.00,USD
EXP-0003,2026-02-13,c.moreau,Training,31.73,GBP
EXP-0029,2026-02-15,c.moreau,Hardware,356.59,GBP
EXP-0077,2026-02-15,c.moreau,Travel,247.25,GBP
EXP-0101,2026-02-15,a.okafor,Hardware,339.40,GBP
EXP-0033,2026-02-22,e.whitfield,Software,184.00,EUR
EXP-0112,2026-02-23,a.okafor,Travel,450.00,EUR
EXP-0001,2026-03-02,a.okafor,Travel,15.33,GBP
EXP-0050,2026-03-05,d.rahman,Meals,134.99,GBP
EXP-0061,2026-03-07,c.moreau,Travel,615.68,GBP
EXP-0026,2026-03-08,c.moreau,Training,23.57,GBP
EXP-0058,2026-03-16,e.whitfield,Hardware,196.00,EUR
EXP-0068,2026-03-16,a.okafor,Travel,82.00,EUR
EXP-0083,2026-03-16,c.moreau,Training,408.00,EUR
EXP-0005,2026-03-19,a.okafor,Software,190.00,EUR
EXP-0038,2026-03-19,a.okafor,Training,300.64,GBP
EXP-0007,2026-03-20,d.rahman,Training,1387.00,EUR
EXP-0116,2026-03-21,c.moreau,Hardware,137.85,GBP
EXP-0014,2026-03-23,c.moreau,Training,59.00,USD
EXP-0080,2026-03-26,a.okafor,Travel,260.00,USD
EXP-0082,2026-03-26,e.whitfield,Travel,111.30,GBP
EXP-0073,2026-03-30,c.moreau,Meals,303.00,USD
EXP-0004,2026-04-08,c.moreau,Software,181.53,GBP
EXP-0037,2026-04-12,a.okafor,Meals,400.00,EUR
EXP-0104,2026-04-16,a.okafor,Training,77.67,GBP
EXP-0013,2026-04-25,e.whitfield,Travel,396.67,GBP
EXP-0054,2026-04-29,c.moreau,Training,68.34,GBP
EXP-0063,2026-05-03,a.okafor,Software,189.51,GBP
EXP-0074,2026-05-03,a.okafor,Travel,317.00,USD
EXP-0023,2026-05-04,d.rahman,Meals,963.08,GBP
EXP-0097,2026-05-05,b.lindqvist,Travel,299.00,USD
EXP-0024,2026-05-06,a.okafor,Meals,143.00,USD
EXP-0034,2026-05-06,c.moreau,Software,72.63,GBP
EXP-0046,2026-05-08,b.lindqvist,Training,332.00,USD
EXP-0019,2026-05-12,d.rahman,Software,230.03,GBP
EXP-0117,2026-05-15,b.lindqvist,Training,61.00,EUR
EXP-0045,2026-05-16,a.okafor,Meals,180.76,GBP
EXP-0098,2026-05-16,a.okafor,Meals,256.00,USD
EXP-0067,2026-05-18,d.rahman,Travel,437.00,USD
EXP-0096,2026-05-21,b.lindqvist,Hardware,25.00,EUR
EXP-0069,2026-05-24,e.whitfield,Training,276.31,GBP
EXP-0043,2026-05-26,e.whitfield,Travel,284.00,USD
EXP-0119,2026-05-26,a.okafor,Training,163.73,GBP
EXP-0094,2026-05-27,c.moreau,Travel,180.31,GBP
EXP-0016,2026-05-28,c.moreau,Software,257.00,USD
EXP-0070,2026-05-30,d.rahman,Travel,141.11,GBP
EXP-0118,2026-05-30,d.rahman,Meals,147.00,USD
EXP-0089,2026-06-05,a.okafor,Training,352.93,GBP
EXP-0048,2026-06-06,e.whitfield,Software,306.00,USD
EXP-0017,2026-06-07,e.whitfield,Hardware,62.00,USD
EXP-0099,2026-06-08,a.okafor,Travel,451.00,USD
EXP-0040,2026-06-09,a.okafor,Meals,456.00,EUR
EXP-0092,2026-06-09,d.rahman,Software,313.84,GBP
EXP-0103,2026-06-09,d.rahman,Training,380.57,GBP
EXP-0055,2026-06-10,a.okafor,Hardware,364.00,EUR
EXP-0047,2026-06-11,e.whitfield,Software,37.00,EUR
EXP-0056,2026-06-13,d.rahman,Travel,380.00,USD
EXP-0064,2026-06-15,c.moreau,Training,282.17,GBP
EXP-0020,2026-06-21,a.okafor,Training,255.68,GBP
EXP-0022,2026-06-21,b.lindqvist,Hardware,121.00,EUR
EXP-0120,2026-06-21,b.lindqvist,Travel,47.69,GBP
EXP-0093,2026-06-23,d.rahman,Meals,143.56,GBP
EXP-0057,2026-06-24,d.rahman,Travel,114.09,GBP
EXP-0084,2026-06-24,b.lindqvist,Training,84.24,GBP
EXP-0087,2026-06-24,e.whitfield,Training,265.00,USD
