team,role,fte,start_date
Platform,analyst,0.5,2021-11-12
Platform,manager,1.0,2024-07-17
Platform,designer,0.8,2023-10-18
Platform,designer,1.0,2023-07-13
Platform,support,0.8,2024-07-01
Finance,analyst,0.8,2023-11-15
Finance,engineer,0.5,2025-12-07
Finance,manager,1.0,2022-10-20
Design,designer,1.0,2024-08-09
Design,manager,0.6,2021-11-06
Design,engineer,1.0,2024-03-26
Design,engineer,1.0,2024-08-12
Design,analyst,0.5,2021-12-05
Support,designer,0.6,2023-01-23
Support,analyst,1.0,2024-07-06
Support,engineer,1.0,2021-09-25
Support,designer,0.6,2022-04-03
Support,support,1.0,2022-06-24
